,Rk,PLAYER,POSITION,TEAM,POINTS,TRB,AST,STL,BLK,FG%,3P%,FT%,FGA,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TOV,PF,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W
87,93,Nick Young,SG,LAL,13.2,2.3,1,0.6,0.2,0.43,0.404,0.856,10.6,2.8,7,1.7,3.5,0.481,0.564,1.3,1.5,0.4,1.9,0.6,2.3,60,25.9,2.28,-1.63,0.65,3.82,7.5,100.59,19
88,94,Ersan Ilyasova,PF,ATL/PHI/OKC,13.1,5.9,1.7,0.7,0.3,0.431,0.353,0.778,10.9,1.7,4.9,3,6,0.496,0.511,2,2.5,1.4,4.5,1.4,2.6,82,26.1,0.98,0.74,1.72,6.83,10.6,101.47,35
89,95,Sean Kilpatrick,SG,BKN,13.1,4,2.2,0.6,0.1,0.415,0.341,0.843,10.5,1.5,4.4,2.9,6.1,0.468,0.486,2.9,3.5,0.3,3.7,1.9,1.7,70,25.1,-0.07,-2.36,-2.43,0.81,9.9,103.54,14
90,96,Robert Covington,SF,PHI,12.9,6.5,1.5,1.9,1,0.399,0.333,0.822,10.9,2,6.1,2.3,4.8,0.484,0.492,2.1,2.6,1.4,5.1,2,3,67,31.6,-0.77,4.32,3.55,9.23,9.1,101.81,27
91,97,Seth Curry,PG,DAL,12.8,2.6,2.7,1.1,0.1,0.481,0.425,0.85,10,2,4.6,2.9,5.4,0.528,0.578,1.2,1.4,0.4,2.2,1.3,1.8,70,29,0.52,0.01,0.53,4.51,10.3,93.53,30
92,98,James Johnson,PF,MIA,12.8,4.9,3.6,1,1.1,0.479,0.34,0.707,10.1,1.1,3.4,3.7,6.8,0.548,0.535,2,2.8,0.9,4.1,2.3,2.6,76,27.4,0.42,1.94,2.36,7.31,12,98.7,40
93,99,Elfrid Payton,PG,ORL,12.8,4.7,6.5,1.1,0.5,0.471,0.274,0.692,11.1,0.5,1.8,4.8,9.3,0.509,0.493,1.8,2.6,1.1,3.6,2.2,2.2,82,29.4,1.12,-0.78,0.34,5.38,11.7,100.23,29
94,100,Dario Saric,PF,PHI,12.8,6.3,2.2,0.7,0.4,0.411,0.311,0.782,11.4,1.3,4.2,3.4,7.2,0.469,0.468,2.1,2.7,1.4,5,2.3,2,81,26.3,-1.25,-0.62,-1.87,1.74,10.3,101.53,28
95,101,Aaron Gordon,SF,ORL,12.7,5.1,1.9,0.8,0.5,0.454,0.288,0.719,10.8,1,3.3,4,7.5,0.528,0.499,2,2.7,1.5,3.6,1.1,2.2,80,28.7,1.25,-0.78,0.47,5.32,8.8,99.7,29
96,102,Rodney Hood,SG,UTAH,12.7,3.4,1.6,0.6,0.2,0.408,0.371,0.783,11.3,1.9,5.2,2.7,6.1,0.44,0.494,1.5,1.9,0.3,3.2,1.1,2.2,59,27,-0.26,-0.51,-0.77,2.23,8.6,93.25,40
97,103,DeAndre Jordan,C,LAC,12.7,13.8,1.2,0.6,1.7,0.714,0,0.482,7.1,0,0,5.1,7.1,0.717,0.714,2.5,5.2,3.7,10.1,1.4,2.6,81,31.7,1.11,3.44,4.55,12.59,15,98.43,51
98,104,Clint Capela,C,HOU,12.6,8.1,1,0.5,1.2,0.643,,0.531,8.7,0,0,5.6,8.7,0.643,0.643,1.4,2.7,2.7,5.4,1.3,2.8,65,23.9,-1.47,1.12,-0.35,2.82,13,101.19,44
99,105,Pau Gasol,C,SA,12.4,7.8,2.3,0.4,1.1,0.502,0.538,0.707,9.4,0.9,1.6,3.9,7.8,0.494,0.548,2,2.9,1.7,6.2,1.3,1.7,64,25.4,0.86,1.49,2.35,5.48,14.3,95.48,47
100,106,Jamal Crawford,SG,LAC,12.3,1.6,2.6,0.7,0.2,0.413,0.36,0.857,10.6,1.4,3.9,3,6.7,0.443,0.479,2.1,2.5,0.2,1.4,1.6,1.4,82,26.3,-0.06,-3.18,-3.24,-0.16,7.9,98.53,51
101,107,Austin Rivers,SG,LAC,12,2.2,2.8,0.6,0.1,0.442,0.371,0.691,9.9,1.5,4,2.9,5.8,0.491,0.518,1.8,2.6,0.3,1.9,1.6,2.5,74,27.8,-0.17,-1.73,-1.9,1.62,6.9,98.18,43
102,108,Jonas Valanciunas,C,TOR,12,9.5,0.7,0.5,0.8,0.557,0.5,0.811,8.8,0,0,4.9,8.8,0.557,0.558,2.2,2.7,2.8,6.7,1.3,2.7,80,25.8,-0.74,0.75,0.01,4.06,13.6,96.61,50
103,109,Jahlil Okafor,C,PHI,11.8,4.8,1.2,0.4,1,0.514,,0.671,9.4,0,0,4.8,9.4,0.514,0.514,2.1,3.2,1.6,3.2,1.8,2.4,50,22.7,-4.43,-1.26,-5.69,-1.85,9.7,98.93,15
104,110,Trevor Ariza,SF,HOU,11.7,5.7,2.2,1.8,0.3,0.409,0.344,0.738,10,2.4,6.9,1.7,3,0.556,0.528,1.2,1.6,0.7,5.1,0.9,1.7,80,34.7,0.86,1.07,1.93,9.29,8.5,102.78,53
105,111,Frank Kaminsky,C,CHA,11.7,4.5,2.2,0.6,0.5,0.399,0.328,0.756,10.7,1.5,4.7,2.7,6,0.455,0.471,1.6,2.1,0.8,3.7,1,1.9,75,26.1,0.96,-0.51,0.45,4.4,8.5,98.15,31
106,112,Greg Monroe,C,MIL,11.7,6.6,2.3,1.1,0.5,0.533,0,0.741,9,0,0,4.8,8.9,0.536,0.533,2.2,3,2.1,4.5,1.7,2.1,81,22.5,1.08,0.47,1.55,5.34,13.9,96.98,42
107,113,Steven Adams,C,OKC,11.3,7.7,1.1,1.1,1,0.571,0,0.611,8.2,0,0,4.7,8.2,0.572,0.571,2,3.2,3.5,4.2,1.8,2.4,80,29.9,-0.3,1.68,1.38,7.01,9.7,101.16,47
108,114,Marvin Williams,PF,CHA,11.2,6.6,1.4,0.8,0.7,0.422,0.35,0.873,9.3,1.6,4.7,2.3,4.6,0.494,0.51,1.7,2,1.2,5.4,0.8,1.8,76,30.2,-0.02,-0.07,-0.09,4.36,9.6,97.82,32
109,115,Ricky Rubio,PG,MIN,11.1,4.1,9.1,1.7,0.1,0.402,0.306,0.891,8.7,0.8,2.6,2.7,6.1,0.443,0.448,3.4,3.8,0.9,3.2,2.6,2.7,75,32.9,1.73,0.76,2.49,8.72,11.4,97.07,28
110,116,Jerryd Bayless,PG,PHI,11,4,4.3,0,0,0.344,0.4,0.9,10.7,0.7,1.7,3,9,0.333,0.375,3,3.3,1,3,3,1.3,3,23.7,-2.23,-0.47,-2.7,0.02,9.7,97.84,1
111,117,Kent Bazemore,SF,ATL,11,3.2,2.4,1.2,0.7,0.409,0.346,0.708,9.9,1.3,3.6,2.8,6.2,0.446,0.473,1.6,2.3,0.6,2.5,1.7,2.3,73,26.9,-0.69,-0.5,-1.19,2.41,7.4,100.37,39
112,118,Brandon Knight,SG,PHX,11,2.2,2.4,0.5,0.1,0.398,0.324,0.857,9.7,0.8,2.6,3,7.1,0.425,0.441,2.4,2.9,0.5,1.7,1.6,1.6,54,21.1,-2.24,-3.08,-5.32,-1.63,8.8,102.73,16
113,119,Emmanuel Mudiay,PG,DEN,11,3.2,3.9,0.7,0.2,0.377,0.315,0.784,10,1,3.2,2.8,6.8,0.408,0.428,2.4,3,0.5,2.7,2.2,1.7,55,25.6,-1.52,-2.38,-3.9,-0.71,7.4,101.93,25
114,120,Terrence Ross,SF,ORL/TOR,11,2.6,1.1,1.1,0.4,0.437,0.363,0.831,9.6,1.8,5,2.4,4.6,0.518,0.532,0.8,1,0.2,2.4,0.9,1.8,78,25.1,1.36,-1.23,0.13,4.06,7.8,99.82,39
115,121,Deron Williams,PG,CLE/DAL,11,2.3,5.6,0.5,0.1,0.438,0.363,0.826,9.4,1.3,3.7,2.8,5.7,0.486,0.509,1.4,1.7,0.2,2.1,2.2,2.2,64,25.9,0.69,-0.91,-0.22,2.95,10,94.28,25
116,122,Thaddeus Young,PF,IND,11,6.1,1.6,1.5,0.4,0.527,0.381,0.523,9.3,0.6,1.6,4.3,7.7,0.557,0.56,0.6,1.2,1.8,4.3,1.3,1.8,74,30.2,-1.09,1.94,0.85,5.66,9.7,98.97,40
117,123,JJ Barea,PG,DAL,10.9,2.4,5.5,0.4,0,0.414,0.358,0.863,9.8,1.5,4.2,2.5,5.6,0.456,0.491,1.3,1.5,0.3,2.1,1.8,0.9,35,22,0.15,-1.57,-1.42,0.8,13.4,95.14,11
118,124,Justise Winslow,SF,MIA,10.9,5.2,3.7,1.4,0.3,0.356,0.2,0.617,12.5,0.4,1.9,4.1,10.6,0.384,0.371,1.6,2.6,1.3,3.9,1.8,2.9,18,34.7,-4.08,0.16,-3.92,-0.31,5.9,97.53,4
119,125,Taj Gibson,PF,CHI/OKC,10.8,6.2,0.9,0.5,0.8,0.515,0.231,0.715,9.1,0,0.2,4.6,8.9,0.52,0.517,1.4,2,2,4.2,1.3,2.1,78,25.5,-1.76,2.02,0.26,4.29,9.7,98.39,41
120,126,Marcin Gortat,C,WSH,10.8,10.4,1.5,0.5,0.7,0.579,0,0.648,8.2,0,0,4.8,8.2,0.58,0.579,1.3,1.9,2.9,7.5,1.5,2.6,82,31.2,-1.25,1.18,-0.07,5.01,10.9,99.85,49
121,127,Terrence Jones,PF,NO/MIL,10.8,5.7,1.1,0.7,1,0.47,0.253,0.606,9.1,0.4,1.4,3.9,7.7,0.508,0.489,1.9,3.1,1.2,4.5,0.9,1.2,54,23.5,-1.38,-0.72,-2.1,0.84,11,99.53,20
122,128,Courtney Lee,SG,NY,10.8,3.4,2.3,1.1,0.3,0.456,0.401,0.867,9.1,1.4,3.5,2.8,5.6,0.49,0.533,1.1,1.3,0.7,2.7,0.9,1.8,77,31.9,0.58,-1.51,-0.93,3.4,7.7,97.86,29
123,129,Allen Crabbe,SG,POR,10.7,2.9,1.2,0.7,0.3,0.468,0.444,0.847,8.2,1.7,3.8,2.1,4.4,0.49,0.572,1.3,1.6,0.2,2.6,0.8,2.2,79,28.5,0.22,-2.87,-2.65,0.68,7.4,99.95,39
124,131,Alex Poythress,PF,PHI,10.7,4.8,0.8,0.5,0.3,0.463,0.316,0.8,9,1,3.2,3.2,5.8,0.543,0.519,1.3,1.7,1.8,3,0.5,2.3,6,26.2,-1.91,-0.47,-2.38,0.07,7.9,99.21,0
125,132,Buddy Hield,SG,NO/SAC,10.6,3.3,1.5,0.5,0.1,0.426,0.391,0.842,9.4,1.8,4.6,2.2,4.7,0.461,0.523,0.8,0.9,0.4,2.9,1.2,1.4,82,23,-0.92,-2.28,-3.2,-0.09,8.4,98.9,31
126,133,Nikola Mirotic,PF,CHI,10.6,5.5,1.1,0.8,0.8,0.413,0.342,0.773,8.9,1.8,5.4,1.8,3.5,0.52,0.516,1.4,1.8,0.9,4.6,1.1,1.8,70,24,0.92,1.31,2.23,5.69,10.4,97.95,37
127,134,Marcus Smart,SG,BOS,10.6,3.9,4.6,1.6,0.4,0.359,0.283,0.812,9.5,1.2,4.2,2.2,5.3,0.42,0.422,2.6,3.2,1,2.9,2,2.4,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51
128,135,Marco Belinelli,SG,CHA,10.5,2.4,2,0.6,0.1,0.429,0.36,0.893,8.3,1.4,3.8,2.2,4.5,0.488,0.512,2,2.3,0.2,2.2,0.9,1.2,74,24,0.67,-1.87,-1.2,2.15,8.8,97.98,34
129,136,Wayne Ellington,SG,MIA,10.5,2.1,1.1,0.6,0.1,0.416,0.378,0.86,9,2.4,6.4,1.3,2.6,0.509,0.55,0.6,0.7,0.3,1.8,0.5,1.1,62,24.2,2.26,-1.6,0.66,3.58,8.2,97.3,35
130,137,Robin Lopez,C,CHI,10.4,6.4,1,0.2,1.4,0.493,0,0.721,9.6,0,0,4.7,9.5,0.494,0.493,0.9,1.3,3,3.4,1.1,1.9,81,28,-2.07,0.63,-1.44,2.42,8.3,97.27,40
131,138,Mason Plumlee,C,DEN/POR,10.4,7.5,3.5,0.9,1.1,0.536,0,0.58,7.7,0,0.1,4.1,7.6,0.541,0.536,2.1,3.7,2.1,5.4,1.7,2.8,81,26.5,0.71,0.22,0.93,5.6,11.2,99.06,38
132,139,Tyreke Evans,SF,NO/SAC,10.3,3.4,3.1,0.9,0.2,0.405,0.356,0.75,9.3,1.1,3,2.7,6.3,0.429,0.462,1.7,2.3,0.3,3.1,1.5,1.5,40,19.7,-1.52,0.02,-1.5,0.81,11.8,98.53,17
133,140,Cody Zeller,PF,CHA,10.3,6.5,1.6,1,0.9,0.571,0,0.679,7.1,0,0,4.1,7.1,0.572,0.571,2.1,3.2,2.2,4.4,1,3,62,27.8,-0.07,3.42,3.35,6.97,9.6,97.57,33
134,141,Malcolm Brogdon,SG,MIL,10.2,2.8,4.2,1.1,0.2,0.457,0.404,0.865,8.5,1,2.6,2.8,5.9,0.48,0.518,1.5,1.7,0.6,2.2,1.5,1.9,75,26.4,1.86,-0.42,1.44,5.66,9.8,96.37,38
135,142,Draymond Green,PF,GS,10.2,7.9,7,2,1.4,0.418,0.308,0.709,8.6,1.1,3.5,2.5,5.1,0.494,0.481,2,2.8,1.3,6.6,2.4,2.9,76,32.5,1.55,5.59,7.14,16.84,11.7,103.34,62
136,143,Jon Leuer,PF,DET,10.2,5.4,1.5,0.4,0.3,0.48,0.293,0.867,8.6,0.7,2.2,3.5,6.4,0.545,0.518,1.3,1.5,1.4,4,0.9,1.9,75,25.9,-1.43,0.58,-0.85,2.78,10,97.11,34
137,144,Jusuf Nurkic,C,DEN/POR,10.2,7.2,1.9,0.8,1.1,0.507,0,0.571,8.2,0,0,4.2,8.2,0.508,0.507,1.8,3.2,2.4,4.8,2.2,2.5,65,21.4,-2.11,2.73,0.62,3.32,11.7,100.65,34
138,145,Josh Richardson,SG,MIA,10.2,3.2,2.6,1.1,0.7,0.394,0.33,0.779,9.7,1.4,4.3,2.4,5.4,0.444,0.467,1.1,1.5,0.7,2.5,1.2,2.5,53,30.5,-1.63,0.06,-1.57,1.57,6.9,97.52,23
139,146,Kyle Korver,SG,ATL/CLE,10.1,2.8,1.6,0.5,0.3,0.464,0.451,0.905,7.7,2.4,5.4,1.1,2.3,0.494,0.621,0.6,0.6,0.1,2.7,1,1.6,67,26.2,-0.15,-2.61,-2.76,0.41,8.1,100,33
140,147,Tony Parker,PG,SA,10.1,1.8,4.5,0.5,0,0.466,0.333,0.726,9,0.4,1.1,3.8,7.9,0.484,0.486,1.3,1.9,0.1,1.7,1.4,1.5,63,25.2,-0.69,-0.97,-1.66,1.42,9.3,93.94,46
141,148,Trevor Booker,PF,BKN,10,8,1.9,1.1,0.4,0.516,0.321,0.673,8.3,0.4,1.1,3.9,7.2,0.546,0.537,1,1.5,2,6,1.8,2.1,71,24.7,-2.29,2,-0.29,3.3,12.7,103.12,18
142,149,Gorgui Dieng,PF,MIN,10,7.9,1.9,1.1,1.2,0.502,0.372,0.814,8.1,0.2,0.5,3.9,7.5,0.511,0.514,1.7,2,2.3,5.6,1.3,3.1,82,32.4,-0.8,3.52,2.72,9.73,9.2,96.76,31
143,150,Yogi Ferrell,PG,DAL/BKN,10,2.4,3.7,0.9,0.2,0.406,0.386,0.831,8.6,1.5,3.8,2,4.7,0.422,0.492,1.6,1.9,0.4,2,1.5,2,46,26,-0.99,-1.21,-2.2,0.39,8.4,95.91,18
144,151,Maurice Harkless,SF,POR,10,4.4,1.1,1.1,0.9,0.503,0.351,0.621,8.1,0.9,2.5,3.2,5.6,0.572,0.558,1,1.6,1.6,2.8,1.1,2.8,77,28.9,0.38,0.49,0.87,5.67,6.9,99.45,38
145,152,Ty Lawson,PG,SAC,9.9,2.6,4.8,1.1,0.1,0.454,0.288,0.797,7.6,0.5,1.7,2.9,5.9,0.502,0.487,2.5,3.1,0.6,2,1.9,1.7,69,25.1,0.49,-1.21,-0.72,2.63,10.6,98.33,25
146,153,Shabazz Muhammad,SF,MIN,9.9,2.8,0.4,0.3,0.1,0.482,0.338,0.774,7.7,0.6,1.9,3.1,5.8,0.528,0.523,1.9,2.4,1.1,1.7,0.7,1.1,78,19.4,-0.56,-3.19,-3.75,-0.6,9.4,97.93,29
147,154,Jamal Murray,SG,DEN,9.9,2.6,2.1,0.6,0.3,0.404,0.334,0.883,8.9,1.4,4.2,2.2,4.7,0.466,0.483,1.3,1.5,0.5,2.1,1.4,1.5,82,21.5,0.06,-1.57,-1.51,1.86,7.8,101.15,40
148,155,Richaun Holmes,C,PHI,9.8,5.5,1,0.7,1,0.558,0.351,0.699,7.2,0.5,1.4,3.6,5.9,0.606,0.591,1.3,1.8,1.6,3.8,1,2.4,57,20.9,-0.32,-0.18,-0.5,2.01,11.6,100.79,16
149,156,Jeremy Lamb,SG,CHA,9.7,4.3,1.2,0.4,0.4,0.46,0.281,0.853,7.9,0.7,2.4,3,5.6,0.536,0.502,1.8,2.1,0.5,3.8,0.6,1.6,62,18.4,0.04,-1.32,-1.28,1.31,12.4,95.9,27
150,157,Kenneth Faried,PF,DEN,9.6,7.6,0.9,0.7,0.7,0.548,0,0.693,6.8,0,0.1,3.7,6.7,0.556,0.548,2.1,3.1,3,4.6,1,2,61,21.2,-0.07,-1.55,-1.62,1.27,12.4,100.81,29
151,158,ETwaun Moore,SG,NO,9.6,2.1,2.2,0.7,0.4,0.457,0.37,0.77,8.5,1.1,2.8,2.8,5.6,0.501,0.519,0.8,1,0.5,1.6,0.8,1.8,73,24.9,-0.24,-1.58,-1.82,1.5,7.3,100.16,32
152,159,Patrick Beverley,SG,HOU,9.5,5.9,4.2,1.5,0.4,0.42,0.382,0.768,8.1,1.6,4.3,1.8,3.8,0.463,0.521,1.1,1.4,1.4,4.4,1.5,3.3,67,30.7,1.11,1.37,2.48,7.56,8.5,101.61,46
153,160,Derrick Favors,PF,UTAH,9.5,6.1,1.1,0.9,0.8,0.487,0.3,0.615,8.3,0.1,0.2,4,8.1,0.491,0.49,1.3,2.2,1.8,4.3,1.2,2.1,50,23.7,-2.76,2.06,-0.7,1.73,10.8,92.72,33
154,161,Patty Mills,PG,SA,9.5,1.8,3.5,0.8,0,0.44,0.414,0.825,7.8,1.8,4.4,1.6,3.3,0.474,0.558,0.8,1,0.3,1.5,1.3,1.4,80,21.9,2.53,-1.26,1.27,4.86,10,98.97,60
155,162,Nik Stauskas,SG,PHI,9.5,2.8,2.4,0.6,0.4,0.396,0.368,0.813,7.9,1.7,4.5,1.5,3.4,0.433,0.5,1.5,1.9,0.3,2.6,1.6,1.8,80,27.4,-0.32,-2.25,-2.57,0.78,6.7,100.28,27
156,163,Michael Beasley,PF,MIL,9.4,3.4,0.9,0.5,0.5,0.532,0.419,0.743,7.3,0.3,0.8,3.5,6.5,0.545,0.554,1.4,1.9,0.7,2.7,1.2,1.6,56,16.7,-1.7,-0.61,-2.31,0.48,11.6,97.91,23
157,164,Brandon Ingram,SF,LAL,9.4,4,2.1,0.6,0.5,0.402,0.294,0.621,8.7,0.7,2.4,2.8,6.3,0.443,0.442,1.7,2.7,0.8,3.2,1.5,2,79,28.8,-1.76,-2.93,-4.69,-2.32,5.5,100.45,26
158,165,Ish Smith,PG,DET,9.4,2.9,5.2,0.8,0.4,0.439,0.267,0.706,9.2,0.3,1.3,3.7,8,0.467,0.458,0.9,1.3,0.3,2.6,1.4,1.6,81,24.1,0.28,0.25,0.53,4.48,10.7,97.62,37
159,166,Cory Joseph,PG,TOR,9.3,2.9,3.3,0.8,0.2,0.452,0.356,0.77,8.3,0.6,1.7,3.1,6.6,0.477,0.489,1.2,1.5,0.6,2.3,1.4,1.8,80,25,-0.5,-1.94,-2.44,0.86,8.9,97.43,49
160,167,Marquese Chriss,PF,PHX,9.2,4.2,0.7,0.8,0.9,0.449,0.321,0.624,7.7,0.9,2.7,2.6,5,0.52,0.506,1.4,2.2,1.2,3.1,1.3,3.2,82,21.3,-1.96,-1.82,-3.78,-0.76,6.3,103.56,24
161,168,Jeff Green,PF,ORL,9.2,3.1,1.2,0.5,0.2,0.394,0.275,0.863,8.1,0.8,2.8,2.4,5.3,0.458,0.442,2.1,2.4,0.6,2.5,1.1,1.5,69,22.2,-2.03,-1.31,-3.34,-0.21,7.7,98.84,26
162,169,Gerald Henderson,SG,PHI,9.2,2.6,1.6,0.6,0.2,0.423,0.353,0.806,7.7,0.8,2.4,2.4,5.3,0.455,0.478,1.8,2.3,0.5,2.1,0.9,1.8,72,23.2,-1.51,-2.42,-3.93,-0.87,7.3,100.88,24
163,170,Joe Johnson,SF,UTAH,9.2,3.1,1.8,0.5,0.2,0.436,0.411,0.818,8,1.4,3.3,2.1,4.7,0.454,0.521,0.8,1,0.4,2.7,0.9,1.2,78,23.6,0.79,-1.56,-0.77,2.58,9.5,93.26,47
164,171,Michael Kidd Gilchrist,SF,CHA,9.2,7,1.4,1,1,0.477,0.111,0.784,7.6,0,0.1,3.6,7.5,0.483,0.478,1.9,2.4,1.9,5,0.7,2.3,81,29,-1.97,2.47,0.5,5.31,9.3,97.79,36
165,172,Jameer Nelson,PG,DEN,9.2,2.6,5.1,0.7,0.1,0.444,0.388,0.714,8.1,1.4,3.6,2.2,4.4,0.489,0.531,0.6,0.8,0.4,2.2,1.7,2.6,75,27.3,0.45,-0.44,0.01,4.17,7.5,100.06,34
166,173,Tony Allen,SG,MEM,9.1,5.5,1.4,1.6,0.4,0.461,0.278,0.615,8.4,0.2,0.8,3.6,7.6,0.479,0.473,1.1,1.8,2.3,3.2,1.4,2.5,71,27,-2.03,2.15,0.12,3.76,8,93.85,36
167,174,Channing Frye,C,CLE,9.1,3.9,0.6,0.4,0.5,0.458,0.409,0.851,7,1.9,4.5,1.4,2.5,0.546,0.589,0.9,1,0.5,3.4,0.7,1.9,74,18.9,1.62,-0.58,1.04,3.7,10.1,98.14,44
168,175,Montrezl Harrell,C,HOU,9.1,3.8,1.1,0.3,0.7,0.652,0.143,0.628,5.9,0,0.1,3.9,5.8,0.663,0.654,1.3,2.1,1.4,2.4,0.8,2.2,58,18.3,-0.39,-0.6,-0.99,1.5,10.8,102.52,39
169,177,Jodie Meeks,SG,ORL,9.1,2.1,1.3,0.9,0.1,0.402,0.409,0.878,7.1,1.6,3.8,1.3,3.3,0.395,0.512,1.8,2.1,0.1,2,1,1.1,36,20.5,-0.05,-1.6,-1.65,0.7,8.1,100.24,14
170,178,Dahntay Jones,SF,CLE,9,2,1,0,0,0.375,0,0.75,8,0,2,3,6,0.5,0.375,3,4,1,1,1,1,1,12,-1.68,-0.38,-2.06,0.01,7.6,85.92,0
171,179,Doug McDermott,SF,CHI/OKC,9,2.7,0.9,0.2,0.1,0.447,0.37,0.845,7.5,1.2,3.2,2.2,4.4,0.502,0.524,1.1,1.3,0.3,2.4,0.6,1.2,66,22.8,-0.61,-3.92,-4.53,-1.33,7.7,97.63,35
172,180,Kelly Olynyk,C,BOS,9,4.8,2,0.6,0.4,0.512,0.354,0.732,6.8,0.9,2.6,2.6,4.2,0.608,0.579,1.2,1.6,1,3.8,1.3,2.8,75,20.5,-0.31,0.81,0.5,3.54,11,99.85,49
173,181,Evan Turner,SF,POR,9,3.8,3.2,0.8,0.4,0.426,0.263,0.825,8.5,0.5,1.8,3.1,6.7,0.47,0.454,1.3,1.6,0.6,3.2,1.5,1.9,65,25.5,-3.04,0.15,-2.89,0.25,8.8,99.29,34
174,182,DeMarre Carroll,SF,TOR,8.9,3.8,1,1.1,0.4,0.4,0.341,0.761,7.6,1.5,4.4,1.5,3.2,0.483,0.499,1.2,1.6,0.9,2.9,0.8,2,72,26.1,0,0.83,0.83,4.66,7.1,96.82,44
